user,sex,age,provider,level,verified,using_time,regist_type,card_a_cnt,card_b_cnt,card_c_cnt,agreement1,op1_cnt,op2_cnt,card_d_cnt,agreement_total,service1_cnt,service1_amt,service2_cnt,agreement2,agreement3,agreement4,acc_count,login_cnt_period1,login_cnt_period2,ip_cnt,login_cnt_avg,login_days_cnt,balance,balance_avg,balance1,balance1_avg,balance2,balance2_avg,service3,product1_amount,product2_amount,product3_amount,product4_amount,product5_amount,product6_amount,product7_cnt,product7_fail_cnt
0,0,24871,0,1,0,24712,1,24712,24712,24706,0,24731,24719,24706,24743,24706,24706,24706,1,0,0,24737,25041,24938,24719,24737,24749,14,14,1,1,16,5,-1,1,1,1,0,0,1,24712,24706
1,0,24889,0,2,0,24716,1,24719,24719,24706,0,24712,24712,24706,24755,24706,24706,24706,1,0,0,24737,25443,24931,24731,24749,24737,3,8,6,6,1,5,-1,2,3,1,0,0,6,24712,24706
2,0,24963,0,2,0,24736,7,24712,24712,24706,0,24712,24712,24706,24743,24706,24706,24706,1,0,0,24731,26584,26524,24774,24774,24859,8,8,1,1,9,5,-1,1,1,1,0,0,1,24719,24719
3,0,24840,2,2,0,24719,3,24712,24712,24706,0,24719,24706,24706,24737,24706,24706,24706,0,1,0,24712,25571,25529,24908,24737,24846,1,1,1,1,1,1,-1,1,1,1,0,0,1,24712,24706
4,0,24871,2,1,0,24707,3,24712,24712,24706,0,24706,24706,24706,24725,24706,24706,24706,0,0,0,24712,25838,25838,24755,24816,24767,9,6,1,1,10,3,-1,1,1,1,0,0,1,24706,24706
5,0,24834,0,2,0,24719,1,24712,24712,24706,0,24731,24712,24706,24749,24706,24706,24706,1,1,0,24712,26057,26002,24785,24780,24810,17,13,19,11,5,5,-1,1,1,1,0,0,1,24712,24706
6,0,24865,0,2,0,24738,7,24719,24719,24706,0,24737,24706,24712,24785,24706,24706,24706,1,1,0,24725,35294,31512,25158,24785,25205,7,7,1,3,8,5,0,2,7,1,0,0,1,24706,24706
7,0,24980,0,2,0,24735,7,24725,24712,24719,0,24755,24706,24712,24767,24706,24706,24706,1,1,0,24731,41911,32037,25249,24810,25127,6,6,8,8,6,5,0,2,6,1,0,0,4,24719,24712
8,1,24914,0,2,0,24717,1,24712,24712,24706,0,24719,24712,24706,24761,24706,24706,24706,1,1,0,24791,37013,30009,25011,24785,25090,16,19,18,17,1,5,-1,2,14,1,0,0,17,24712,24706
9,0,24877,0,2,0,24728,1,24712,24712,24706,0,24712,24712,24706,24725,24706,24706,24706,0,0,0,24712,24840,24840,24749,24719,24755,9,10,1,1,10,5,-1,1,1,1,0,0,1,24712,24706
